mmap_size,latency
4096,2.436898E-06
4096,2.398279E-06
4096,2.478698E-06
4096,2.542938E-06
4096,2.414217E-06
4096,2.271004E-06
4096,2.38661E-06
4096,2.522022E-06
4096,2.501972E-06
16384,2.523919E-06
16384,2.60342E-06
16384,2.424249E-06
16384,2.4462E-06
16384,2.369994E-06
16384,2.304889E-06
16384,2.412327E-06
16384,2.371885E-06
16384,2.698669E-06
65536,2.654952E-06
65536,2.538222E-06
65536,2.701999E-06
65536,2.559154E-06
65536,2.541664E-06
65536,2.514454E-06
65536,2.653452E-06
65536,2.515357E-06
65536,2.760717E-06
