mmap_size,latency
4096,2.336386E-06
4096,2.3359E-06
4096,2.356916E-06
4096,2.303297E-06
4096,2.317177E-06
4096,2.336365E-06
4096,2.351172E-06
4096,2.529355E-06
4096,2.313436E-06
16384,2.534439E-06
16384,2.424859E-06
16384,2.677485E-06
16384,2.464405E-06
16384,2.500801E-06
16384,2.669675E-06
16384,2.461273E-06
16384,2.838237E-06
16384,2.599023E-06
65536,3.123245E-06
65536,2.772798E-06
65536,2.759837E-06
65536,2.860409E-06
65536,3.058923E-06
65536,2.952585E-06
65536,2.995402E-06
65536,2.656446E-06
65536,3.018432E-06
