mmap_size,latency
1024,2.203004E-06
1024,2.190801E-06
1024,2.264169E-06
1024,2.220666E-06
1024,2.268251E-06
1024,2.20041E-06
1024,2.183539E-06
1024,2.261822E-06
1024,2.185191E-06
2048,2.204897E-06
2048,2.205524E-06
2048,2.2326E-06
2048,2.279827E-06
2048,2.242406E-06
2048,2.535087E-06
2048,2.217831E-06
2048,2.207721E-06
2048,2.191548E-06
4096,2.206357E-06
4096,2.263107E-06
4096,2.284201E-06
4096,2.209317E-06
4096,2.227241E-06
4096,2.265139E-06
4096,2.200486E-06
4096,2.2001E-06
4096,2.270295E-06
8192,2.291808E-06
8192,2.307823E-06
8192,2.289313E-06
8192,2.359743E-06
8192,2.698256E-06
8192,2.295485E-06
8192,2.308124E-06
8192,2.349812E-06
8192,2.461329E-06
16384,2.312021E-06
16384,2.41321E-06
16384,2.392365E-06
16384,2.372294E-06
16384,2.325675E-06
16384,2.342007E-06
16384,2.378076E-06
16384,2.681399E-06
16384,2.328914E-06
32768,2.76627E-06
32768,2.391205E-06
32768,2.388865E-06
32768,2.362731E-06
32768,2.416747E-06
32768,2.376917E-06
32768,2.369731E-06
32768,2.398977E-06
32768,2.409043E-06
65536,2.541652E-06
65536,2.535503E-06
65536,2.49595E-06
65536,2.514401E-06
65536,2.543619E-06
65536,2.548806E-06
65536,2.569398E-06
65536,2.585394E-06
65536,2.577085E-06
131072,2.793867E-06
131072,2.722103E-06
131072,2.762807E-06
131072,2.780584E-06
131072,2.720499E-06
131072,2.728862E-06
131072,2.737021E-06
131072,2.804245E-06
131072,2.815313E-06
262144,3.155081E-06
262144,3.163712E-06
262144,3.153445E-06
262144,3.217705E-06
262144,3.167226E-06
262144,3.224425E-06
262144,3.153512E-06
262144,3.258245E-06
262144,3.147636E-06
524288,4.009249E-06
524288,4.030169E-06
524288,4.141668E-06
524288,4.079902E-06
524288,4.001309E-06
524288,4.170952E-06
524288,4.121823E-06
524288,4.187378E-06
524288,4.14416E-06
1048576,5.95756E-06
1048576,5.883861E-06
1048576,5.893926E-06
1048576,5.863595E-06
1048576,5.968778E-06
1048576,5.754754E-06
1048576,6.244725E-06
1048576,5.984009E-06
1048576,5.759611E-06
